Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
180.997,64.492,2,8.76,30.56,,,2196.0,302.02,8.22,190.00,2.87,0.70,,1917.00,2195.52,-10.71,281.91,8.209
180.997,64.492,6,8.73,30.64,,,2198.0,301.92,8.21,190.00,2.87,,,1919.00,2192.07,-10.59,281.88,8.210
180.997,64.492,10,4.95,32.79,,,2351.0,387.34,8.11,225.00,2.57,,,2102.00,2243.67,-74.50,278.10,9.855
180.997,64.492,15,2.51,33.24,,,2360.0,210.08,7.56,855.00,0.80,,,2326.00,2449.16,120.77,275.66,37.779
180.997,64.492,26,2.52,33.25,,,2362.0,203.90,7.52,953.00,0.73,,,2341.00,2464.21,126.84,275.67,42.108
180.997,64.492,51,2.56,33.26,,,2368.0,191.40,7.49,1048.00,0.67,,,2358.00,2481.36,138.99,275.71,46.298
180.997,64.492,57,2.52,33.27,,,2371.0,182.61,7.46,1130.00,0.63,1.56,,2370.00,2493.24,148.08,275.67,49.928
179.74,64.617,1,8.82,29.29,,,2106.0,307.32,8.15,220.00,2.39,2.90,,1876.00,2241.72,-13.72,281.97,9.503
179.74,64.617,4,8.87,29.32,,,2110.0,307.48,8.16,219.00,2.42,,,1878.00,2241.81,-14.27,282.02,9.458
179.74,64.617,10,8.66,29.53,,,2116.0,308.19,8.15,219.00,2.41,,,1884.00,2232.98,-14.05,281.81,9.466
179.74,64.617,15,1.97,33.10,,,2323.0,321.52,7.74,518.00,1.17,,,2231.00,2359.06,14.18,275.12,22.933
179.74,64.617,25,-1.32,33.70,,,2412.0,232.66,7.46,948.00,0.64,,,2408.00,2500.89,131.21,271.83,42.478
179.74,64.617,41,-1.43,33.79,,,2425.0,202.41,7.39,1141.00,0.54,1.29,,2444.00,2531.52,162.27,271.72,51.147
180.341,64.867,2,8.41,29.56,,,2125.0,311.34,8.14,227.00,2.35,0.80,,1899.00,2248.48,-15.61,281.56,9.820
180.341,64.867,6,8.36,29.62,,,2127.0,312.45,8.14,227.00,2.35,,,1901.00,2246.29,-16.51,281.51,9.822
180.341,64.867,10,7.91,30.08,,,2150.0,317.97,8.12,233.00,2.33,,,1926.00,2241.02,-20.01,281.06,10.097
180.341,64.867,15,2.22,33.06,,,2343.0,361.03,7.88,364.00,1.60,,,2198.00,2326.98,-27.32,275.37,16.101
180.341,64.867,25,0.68,33.26,,,2359.0,201.71,7.44,1090.00,0.59,,,2364.00,2487.67,144.77,273.83,48.484
180.341,64.867,35,-1.54,33.84,,,2429.0,262.23,7.52,821.00,0.73,,,2408.00,2490.54,103.38,271.61,36.817
180.341,64.867,51,-1.78,34.38,,,2464.0,246.30,7.47,918.00,0.67,2.20,,2455.00,2499.27,120.10,271.37,41.204
183.583,65.084,2,8.52,30.05,,,2162.0,298.60,8.11,251.00,2.28,0.10,,1944.00,2264.23,-4.64,281.67,10.854
183.583,65.084,6,8.52,30.05,,,2161.0,300.80,8.11,250.00,2.29,,,1943.00,2263.06,-6.84,281.67,10.811
183.583,65.084,10,8.52,30.05,,,2162.0,299.54,8.11,251.00,2.28,,,1944.00,2264.23,-5.58,281.67,10.854
183.583,65.084,15,6.39,30.86,,,2212.0,315.83,8.05,266.00,2.12,,,2010.00,2279.65,-9.05,279.54,11.590
183.583,65.084,25,0.77,33.28,,,2373.0,214.72,7.51,913.00,0.70,,,2355.00,2476.71,130.90,273.92,40.598
183.583,65.084,37,-1.05,33.71,,,2408.0,228.34,7.48,925.00,0.66,,,2400.00,2491.84,132.90,272.10,41.407
183.583,65.084,46,-1.48,33.83,,,2423.0,225.46,7.46,944.00,0.64,2.23,,2419.00,2502.66,139.59,271.67,42.324
181.175,65.167,2,8.35,30.70,,,2195.0,303.36,8.19,199.00,2.75,1.00,,1928.00,2198.05,-9.67,281.50,8.611
181.175,65.167,4,8.22,30.85,,,2212.0,307.79,8.19,198.00,2.79,,,1941.00,2202.11,-13.56,281.37,8.571
181.175,65.167,11,5.69,32.38,,,2303.0,347.35,8.14,207.00,2.69,,,2041.00,2206.15,-38.99,278.84,9.042
181.175,65.167,15,1.93,33.04,,,2336.0,259.90,7.61,729.00,0.88,,,2287.00,2422.67,76.30,275.08,32.279
181.175,65.167,26,1.90,33.10,,,2344.0,191.19,7.45,1109.00,0.61,,,2346.00,2480.66,145.11,275.05,49.111
181.175,65.167,51,0.36,33.69,,,2417.0,158.25,7.32,1478.00,0.46,,,2461.00,2556.69,189.94,273.51,65.820
181.175,65.167,54,-1.30,34.21,,,2455.0,170.66,7.33,1389.00,0.47,4.55,,2498.00,2555.69,191.56,271.85,62.234
182.416,65.168,2,8.11,30.33,,,2178.0,300.53,8.13,232.00,2.41,0.10,,1946.00,2245.63,-4.45,281.26,10.047
182.416,65.168,6,8.11,30.33,,,2179.0,299.73,8.13,231.00,2.43,,,1946.00,2245.63,-3.65,281.26,10.004
182.416,65.168,9,8.08,30.34,,,2183.0,298.86,8.13,231.00,2.43,,,1950.00,2249.51,-2.61,281.23,10.005
182.416,65.168,15,2.77,32.43,,,2314.0,367.92,8.06,228.00,2.27,,,2094.00,2259.94,-37.17,275.92,10.065
182.416,65.168,20,-0.17,33.23,,,2375.0,283.58,7.70,532.00,1.08,,,2296.00,2418.30,70.71,272.98,23.738
182.416,65.168,25,-0.80,33.61,,,2399.0,227.92,7.51,854.00,0.71,,,2380.00,2478.43,131.21,272.35,38.193
182.416,65.168,36,-1.37,33.78,,,2420.0,238.31,7.52,818.00,0.73,5.25,,2398.00,2484.61,125.82,271.78,36.660
